booking,customer_id,show_id,seats_booked,amount,booking_date
1,83,39,4,4800,2026-08-02
2,19,138,1,700,2026-08-19
3,15,130,2,1000,2026-08-03
4,112,108,1,600,2026-08-03
5,142,109,1,1000,2026-08-04
6,58,162,6,6000,2026-08-31
7,16,148,5,4000,2026-08-02
8,57,12,5,3000,2026-08-10
9,108,37,5,2500,2026-08-19
10,79,144,6,3600,2026-08-04
11,149,147,6,3600,2026-08-12
12,25,141,6,3000,2026-08-19
13,16,159,2,1600,2026-08-22
14,137,110,3,2400,2026-08-19
15,117,93,3,1800,2026-08-26
16,47,179,2,1000,2026-08-19
17,77,135,4,2800,2026-08-24
18,115,74,5,2500,2026-08-04
19,132,108,2,1400,2026-08-05
20,126,108,1,1200,2026-08-03
21,143,147,3,2100,2026-08-23
22,90,153,4,4000,2026-08-26
23,117,18,1,700,2026-08-16
24,17,16,6,7200,2026-08-10
25,148,175,4,2800,2026-08-23
26,99,172,3,1500,2026-08-31
27,119,91,2,2000,2026-08-04
28,127,16,2,1400,2026-08-05
29,64,102,4,3200,2026-08-03
30,43,115,4,4000,2026-08-09
31,36,111,5,3500,2026-08-23
32,107,92,6,4800,2026-08-31
33,60,39,1,600,2026-08-05
34,60,169,2,1000,2026-08-16
35,47,68,3,1500,2026-08-05
36,108,137,3,3000,2026-08-19
37,82,33,6,6000,2026-08-31
38,14,117,6,6000,2026-08-13
39,102,103,4,2000,2026-08-16
40,103,16,2,1000,2026-08-07
41,113,42,1,700,2026-08-20
42,14,27,1,1000,2026-08-05
43,138,26,3,3000,2026-08-01
44,19,54,5,4000,2026-08-05
45,65,89,5,3500,2026-08-16
46,32,30,4,3200,2026-08-16
47,124,80,1,600,2026-08-04
48,88,190,3,2400,2026-08-27
49,42,133,1,600,2026-08-31
50,136,93,2,2400,2026-08-18
51,7,195,5,3500,2026-08-21
52,24,179,3,3000,2026-08-12
53,43,92,2,2000,2026-08-18
54,129,85,6,3600,2026-08-20
55,50,62,4,4800,2026-08-26
56,59,52,5,4000,2026-08-12
57,8,8,3,2400,2026-08-09
58,50,178,5,3500,2026-08-15
59,90,94,1,600,2026-08-04
60,59,121,2,1400,2026-08-07
61,124,160,5,2500,2026-08-16
62,89,165,1,1200,2026-08-04
63,100,183,2,1600,2026-08-29
64,46,112,6,4200,2026-08-03
65,102,119,4,4800,2026-08-31
66,22,186,2,1200,2026-08-05
67,8,39,5,4000,2026-08-26
68,38,157,5,4000,2026-08-22
69,90,40,5,5000,2026-08-05
70,6,4,6,7200,2026-08-04
71,135,192,2,1600,2026-08-28
72,50,55,1,700,2026-08-07
73,75,129,2,2000,2026-08-11
74,67,140,4,2400,2026-08-02
75,91,118,6,6000,2026-08-27
76,133,108,5,3000,2026-08-18
77,39,135,5,2500,2026-08-28
78,113,199,2,2000,2026-08-01
79,39,45,2,1600,2026-08-20
80,31,143,1,700,2026-08-22
81,133,136,5,4000,2026-08-26
82,28,144,1,600,2026-08-07
83,71,11,1,1000,2026-08-15
84,144,8,1,800,2026-08-11
85,130,156,5,3000,2026-08-23
86,71,116,5,5000,2026-08-26
87,123,130,2,2400,2026-08-17
88,67,144,2,1600,2026-08-05
89,107,32,4,3200,2026-08-11
90,19,172,2,1600,2026-08-03
91,55,172,3,1500,2026-08-29
92,40,184,6,7200,2026-08-12
93,37,65,2,1600,2026-08-08
94,25,102,4,2400,2026-08-22
95,58,42,6,4800,2026-08-17
96,104,87,4,2400,2026-08-12
97,82,24,6,4200,2026-08-01
98,87,142,4,3200,2026-08-23
99,5,99,3,3000,2026-08-20
100,76,132,1,500,2026-08-30
