screen_id,theatre_id,capacity
1,1,50
2,2,60
3,2,120
4,3,50
5,3,50
6,4,80
7,4,150
8,5,100
9,5,120
10,6,100
11,7,80
12,8,150
13,9,50
14,9,120
15,10,80
16,11,50
17,11,150
18,12,120
19,12,80
20,13,150
21,14,120
22,14,80
23,15,80
24,15,100
25,16,120
26,16,60
27,17,100
28,18,150
29,18,150
30,19,120
31,20,100
32,20,120
33,21,80
34,22,60
35,22,100
36,23,100
37,23,100
38,24,150
39,24,60
40,25,150
41,25,60
42,26,80
43,27,50
44,27,60
45,28,60
46,28,60
47,29,50
48,30,60
49,31,120
50,31,50
51,32,100
52,32,150
53,33,150
54,34,100
55,34,100
56,35,60
57,36,50
58,37,60
59,37,60
60,38,50
61,38,120
62,39,50
63,40,60
64,40,100
65,41,100
66,41,120
67,42,120
68,42,100
69,43,150
70,44,100
71,44,80
72,45,150
73,46,120
74,46,100
75,47,80
76,48,50
77,48,150
78,49,60
79,49,80
80,50,80
81,50,120
82,51,60
83,52,60
84,53,150
85,53,60
86,54,50
87,55,100
88,55,80
89,56,100
90,56,50
91,57,100
92,58,120
93,58,150
94,59,120
95,60,100
96,60,50
97,61,80
98,61,100
99,62,120
100,62,150
101,63,100
102,64,80
103,65,100
104,65,50
105,66,80
106,66,150
107,67,150
108,67,60
109,68,60
110,68,120
111,69,100
112,70,50
113,71,60
114,71,100
115,72,50
116,73,100
117,73,80
118,74,100
119,75,80
120,75,100
121,76,100
122,76,80
123,77,100
124,78,150
125,79,80
126,80,150
127,81,150
128,82,50
129,83,60
130,84,120
131,85,60
132,86,100
133,87,120
134,88,100
135,89,80
136,89,60
137,90,60
138,91,50
139,91,120
140,92,80
141,93,100
142,93,150
143,94,50
144,95,50
145,96,150
146,96,120
147,97,120
148,98,80
149,99,150
150,99,80
