theatre_id,name,location
1,Metro Cineplex Gujranwala 1,Gujranwala
2,CineStar Islamabad 2,Islamabad
3,Universal Cinemas Rawalpindi 3,Rawalpindi
4,Universal Cinemas Karachi 4,Karachi
5,Grand Cinema Sukkur 5,Sukkur
6,Metro Cineplex Karachi 6,Karachi
7,DHA Cinema Karachi 7,Karachi
8,Cinepax Sialkot 8,Sialkot
9,CineStar Hyderabad 9,Hyderabad
10,Metro Cineplex Islamabad 10,Islamabad
11,Cinepax Hyderabad 11,Hyderabad
12,Nueplex Sargodha 12,Sargodha
13,Atrium Cinemas Lahore 13,Lahore
14,Grand Cinema Lahore 14,Lahore
15,Universal Cinemas Peshawar 15,Peshawar
16,Nueplex Abbottabad 16,Abbottabad
17,Grand Cinema Faisalabad 17,Faisalabad
18,Grand Cinema Sialkot 18,Sialkot
19,Cinepax Sialkot 19,Sialkot
20,Nueplex Peshawar 20,Peshawar
21,Grand Cinema Sialkot 21,Sialkot
22,Metro Cineplex Multan 22,Multan
23,Capri Cinema Faisalabad 23,Faisalabad
24,DHA Cinema Faisalabad 24,Faisalabad
25,Capri Cinema Peshawar 25,Peshawar
26,Atrium Cinemas Gujranwala 26,Gujranwala
27,Capri Cinema Quetta 27,Quetta
28,DHA Cinema Abbottabad 28,Abbottabad
29,Nueplex Karachi 29,Karachi
30,CineStar Sialkot 30,Sialkot
31,Grand Cinema Lahore 31,Lahore
32,Nueplex Hyderabad 32,Hyderabad
33,Universal Cinemas Hyderabad 33,Hyderabad
34,Capri Cinema Islamabad 34,Islamabad
35,DHA Cinema Abbottabad 35,Abbottabad
36,Nueplex Abbottabad 36,Abbottabad
37,Universal Cinemas Multan 37,Multan
38,Capri Cinema Islamabad 38,Islamabad
39,CineStar Sargodha 39,Sargodha
40,Metro Cineplex Sukkur 40,Sukkur
41,Capri Cinema Sialkot 41,Sialkot
42,Metro Cineplex Karachi 42,Karachi
43,Metro Cineplex Rawalpindi 43,Rawalpindi
44,Nueplex Abbottabad 44,Abbottabad
45,Atrium Cinemas Rawalpindi 45,Rawalpindi
46,Nueplex Abbottabad 46,Abbottabad
47,Nueplex Sukkur 47,Sukkur
48,Metro Cineplex Islamabad 48,Islamabad
49,Capri Cinema Rawalpindi 49,Rawalpindi
50,Grand Cinema Faisalabad 50,Faisalabad
51,DHA Cinema Faisalabad 51,Faisalabad
52,Capri Cinema Hyderabad 52,Hyderabad
53,CineStar Rawalpindi 53,Rawalpindi
54,Cinepax Lahore 54,Lahore
55,Ocean Mall Cinema Sargodha 55,Sargodha
56,Capri Cinema Karachi 56,Karachi
57,Cinepax Multan 57,Multan
58,Atrium Cinemas Gujranwala 58,Gujranwala
59,Capri Cinema Islamabad 59,Islamabad
60,CineStar Hyderabad 60,Hyderabad
61,Ocean Mall Cinema Hyderabad 61,Hyderabad
62,Cinepax Lahore 62,Lahore
63,Nueplex Abbottabad 63,Abbottabad
64,Atrium Cinemas Hyderabad 64,Hyderabad
65,Cinepax Sargodha 65,Sargodha
66,DHA Cinema Sialkot 66,Sialkot
67,Metro Cineplex Islamabad 67,Islamabad
68,Ocean Mall Cinema Islamabad 68,Islamabad
69,Cinepax Rawalpindi 69,Rawalpindi
70,DHA Cinema Abbottabad 70,Abbottabad
71,Cinepax Abbottabad 71,Abbottabad
72,DHA Cinema Faisalabad 72,Faisalabad
73,Universal Cinemas Gujranwala 73,Gujranwala
74,Nueplex Multan 74,Multan
75,Metro Cineplex Abbottabad 75,Abbottabad
76,Ocean Mall Cinema Sialkot 76,Sialkot
77,Atrium Cinemas Abbottabad 77,Abbottabad
78,Universal Cinemas Sargodha 78,Sargodha
79,Atrium Cinemas Bahawalpur 79,Bahawalpur
80,Atrium Cinemas Abbottabad 80,Abbottabad
81,Ocean Mall Cinema Karachi 81,Karachi
82,Atrium Cinemas Sukkur 82,Sukkur
83,DHA Cinema Bahawalpur 83,Bahawalpur
84,Ocean Mall Cinema Bahawalpur 84,Bahawalpur
85,Universal Cinemas Rawalpindi 85,Rawalpindi
86,Atrium Cinemas Bahawalpur 86,Bahawalpur
87,Nueplex Peshawar 87,Peshawar
88,Cinepax Sargodha 88,Sargodha
89,CineStar Faisalabad 89,Faisalabad
90,Universal Cinemas Sargodha 90,Sargodha
91,CineStar Multan 91,Multan
92,Capri Cinema Sargodha 92,Sargodha
93,Universal Cinemas Faisalabad 93,Faisalabad
94,Cinepax Gujranwala 94,Gujranwala
95,Universal Cinemas Peshawar 95,Peshawar
96,DHA Cinema Rawalpindi 96,Rawalpindi
97,Nueplex Bahawalpur 97,Bahawalpur
98,Capri Cinema Multan 98,Multan
99,Metro Cineplex Peshawar 99,Peshawar
100,Metro Cineplex Multan 100,Multan
