show_id,movie_id,screen_id,show_date,show_time
1,9,130,2026-08-21,16:00
2,2,108,2026-08-27,19:00
3,14,111,2026-08-31,16:00
4,82,118,2026-08-23,13:00
5,56,46,2026-08-24,22:00
6,84,70,2026-08-20,22:00
7,100,124,2026-08-15,19:00
8,106,69,2026-08-11,13:00
9,107,23,2026-08-09,19:00
10,32,119,2026-08-19,22:00
11,86,98,2026-08-11,10:00
12,64,84,2026-08-06,19:00
13,28,91,2026-08-26,16:00
14,44,72,2026-08-29,22:00
15,90,71,2026-08-18,10:00
16,67,49,2026-08-03,13:00
17,93,105,2026-08-16,22:00
18,98,62,2026-08-23,19:00
19,83,126,2026-08-15,10:00
20,12,76,2026-08-08,19:00
21,89,63,2026-08-10,22:00
22,48,122,2026-08-18,22:00
23,45,109,2026-08-24,22:00
24,43,91,2026-08-23,19:00
25,35,79,2026-08-09,13:00
26,16,50,2026-08-11,10:00
27,96,138,2026-08-31,13:00
28,25,56,2026-08-24,19:00
29,36,135,2026-08-20,16:00
30,13,50,2026-08-10,13:00
31,47,46,2026-08-10,10:00
32,91,137,2026-08-05,16:00
33,6,14,2026-08-18,16:00
34,90,33,2026-08-21,19:00
35,14,4,2026-08-19,16:00
36,61,123,2026-08-15,16:00
37,24,14,2026-08-09,19:00
38,15,17,2026-08-13,19:00
39,10,148,2026-08-21,10:00
40,20,39,2026-08-26,22:00
41,39,22,2026-08-08,10:00
42,72,107,2026-08-20,22:00
43,102,58,2026-08-25,22:00
44,49,116,2026-08-30,19:00
45,39,110,2026-08-10,22:00
46,80,16,2026-08-20,10:00
47,98,54,2026-08-21,13:00
48,34,21,2026-08-06,13:00
49,23,142,2026-08-03,13:00
50,1,105,2026-08-15,22:00
51,61,75,2026-08-02,13:00
52,37,73,2026-08-23,19:00
53,10,60,2026-08-30,16:00
54,101,51,2026-08-14,10:00
55,70,58,2026-08-21,13:00
56,35,37,2026-08-03,10:00
57,22,79,2026-08-20,22:00
58,37,113,2026-08-04,19:00
59,89,78,2026-08-23,19:00
60,35,129,2026-08-18,19:00
61,57,21,2026-08-20,10:00
62,56,83,2026-08-20,16:00
63,4,24,2026-08-08,22:00
64,76,6,2026-08-25,16:00
65,74,11,2026-08-25,13:00
66,61,133,2026-08-21,19:00
67,36,47,2026-08-19,19:00
68,82,126,2026-08-03,19:00
69,45,105,2026-08-11,16:00
70,86,27,2026-08-28,13:00
71,43,106,2026-08-23,19:00
72,37,103,2026-08-27,22:00
73,5,117,2026-08-03,16:00
74,33,83,2026-08-04,19:00
75,66,1,2026-08-22,22:00
76,60,106,2026-08-02,13:00
77,67,93,2026-08-20,19:00
78,81,114,2026-08-25,10:00
79,27,69,2026-08-18,13:00
80,37,113,2026-08-29,19:00
81,16,8,2026-08-21,22:00
82,103,62,2026-08-23,13:00
83,40,142,2026-08-01,22:00
84,53,24,2026-08-08,10:00
85,60,31,2026-08-21,13:00
86,64,75,2026-08-17,16:00
87,54,124,2026-08-16,13:00
88,59,142,2026-08-05,19:00
89,25,131,2026-08-24,13:00
90,9,71,2026-08-25,19:00
91,44,130,2026-08-09,10:00
92,37,77,2026-08-27,22:00
93,75,126,2026-08-28,13:00
94,58,138,2026-08-16,16:00
